iter	RMSE
291	4.25305944
292	4.252975516
293	4.252704281
294	4.252413575
295	4.252180117
296	4.252043457
297	4.251927033
298	4.251650397
299	4.25159014
300	4.251520467
301	4.251283508
302	4.251138187
303	4.251079335
304	4.251072273
305	4.250975912
306	4.250926945
307	4.250811119
308	4.250755716
309	4.250659347
310	4.2505421
311	4.250428618
312	4.250262862
313	4.250162087
314	4.250057228
315	4.249843107
316	4.249625835
317	4.249579836
318	4.249447488
319	4.249301477
320	4.249196439
321	4.249144312
322	4.248984944
323	4.2488419
324	4.248755852
325	4.248671686
326	4.248606519
327	4.248496439
328	4.248398606
329	4.248390754
330	4.248266535
331	4.248163985
332	4.247880821
333	4.247798366
334	4.247672559
335	4.247433186
336	4.247392975
337	4.247279565
338	4.247203224
339	4.247056193
340	4.246995871
341	4.246912613
342	4.246799662
343	4.246712472
344	4.246667227
345	4.246541544
346	4.246479015
347	4.246432196
348	4.246417271
349	4.246247273
350	4.246175313
351	4.246116864
352	4.246063128
353	4.246023376
354	4.245930356
355	4.245748397
356	4.245654586
357	4.245489115
358	4.245412113
359	4.245386184
360	4.245343753
361	4.24523799
362	4.245118236
363	4.2449386
364	4.244716676
365	4.24454661
366	4.244431396
367	4.244332997
368	4.244289613
369	4.243949441
370	4.243717247
371	4.243627793
372	4.243549028
373	4.243447621
374	4.243436301
375	4.243228293
376	4.243101564
377	4.243073105
378	4.242978763
379	4.242841177
380	4.242676697
381	4.242622131
382	4.242574484
383	4.242559388
384	4.242413611
385	4.24231029
386	4.242178187
387	4.242071244
388	4.241631803
389	4.241573606
390	4.241479546
391	4.241404988
392	4.24135481
393	4.241253351
394	4.241044134
395	4.240966265
396	4.240916239
397	4.240701971
398	4.24059326
399	4.240403205
400	4.240190956
401	4.240093875
402	4.239957769
403	4.239929761
404	4.239876891
405	4.239737945
406	4.239583889
407	4.239499226
408	4.239400398
409	4.239298893
410	4.239158512
411	4.239115704
412	4.239061722
413	4.238989483
414	4.238921334
415	4.238904021
416	4.238834297
417	4.238716409
418	4.238564204
419	4.238457956
420	4.238345094
421	4.238313297
422	4.238232072
423	4.238188468
424	4.23805482
425	4.237951393
426	4.237861345
427	4.237756497
428	4.237490113
429	4.237452327
430	4.237391081
431	4.237291575
432	4.237205921
433	4.237176792
434	4.237082477
435	4.23706248
436	4.237041853
437	4.236960918
438	4.236819043
439	4.236767078
440	4.236683934
441	4.236634803
442	4.236620315
443	4.236592914
444	4.236461735
445	4.23638331
446	4.236269605
447	4.236194956
448	4.236078884
449	4.235980606
450	4.235894297
451	4.235813498
452	4.235777114
453	4.235683555
454	4.235635357
455	4.235629686
456	4.235578022
457	4.235487766
458	4.235459886
459	4.235395461
460	4.23533198
461	4.235271648
462	4.235174612
463	4.235112546
464	4.2350708
465	4.23499991
466	4.234824413
467	4.234785658
468	4.234718387
469	4.234688295
470	4.234523184
471	4.234421561
472	4.234408169
473	4.234383118
474	4.234338686
475	4.234317101
476	4.234255337
477	4.234162531
478	4.234019459
479	4.23398243
480	4.233946661
481	4.233765763
482	4.233701784
483	4.233683978
484	4.233613852
485	4.23347612
486	4.233322938
487	4.233301348
488	4.233250758
489	4.233227749
490	4.233149893
491	4.233093314
492	4.232788809
493	4.232702907
494	4.232676584
495	4.232633711
496	4.232578543
497	4.232455751
498	4.232327755
499	4.232243893
500	4.23213654
501	4.232014524
502	4.231928291
503	4.231908585
504	4.231766383
505	4.231694019
506	4.231637419
507	4.231582711
508	4.231579715
509	4.231510501
510	4.231371597
511	4.231346527
512	4.231310263
513	4.231296072
514	4.231257915
515	4.231147385
516	4.231075798
517	4.23102124
518	4.230982293
519	4.230858982
520	4.230754118
521	4.230633008
522	4.230576079
523	4.230498332
524	4.230414434
525	4.230357975
526	4.230294734
527	4.23015784
528	4.230076143
529	4.230017314
530	4.229938926
531	4.229873944
532	4.229867319
533	4.229839717
534	4.22977284
535	4.229664637
536	4.229634667
537	4.229604225
538	4.229556115
539	4.229540499
540	4.22946857
541	4.229390488
542	4.229332753
543	4.229298522
544	4.229249463
545	4.229152919
546	4.229126732
547	4.229116952
548	4.228951465
549	4.228889465
550	4.228875266
551	4.228810267
552	4.228736117
553	4.228593493
554	4.228549474
555	4.228495672
556	4.22842057
557	4.228407001
558	4.228262629
559	4.228172691
560	4.228114466
561	4.228070127
562	4.228016161
563	4.227908859
564	4.227895604
565	4.227870988
566	4.227798557
567	4.227763209
568	4.22769046
569	4.227619447
570	4.227511661
571	4.227455006
572	4.227451376
573	4.22729703
574	4.227222379
575	4.227156408
576	4.227138889
577	4.227074969
578	4.226985163
579	4.226939706
580	4.226870574
581	4.22678834
582	4.226757719
583	4.226736726
584	4.226707841
585	4.226690951
586	4.226620394
587	4.226587878
588	4.226519529
589	4.226499166
590	4.226476436
591	4.22643792
592	4.226331525
593	4.226319212
594	4.226245492
595	4.226200975
596	4.226056844
597	4.226039794
598	4.225938125
599	4.225873397
600	4.225786723
601	4.225739044
602	4.225630737
603	4.225548636
604	4.225517217
605	4.225475061
606	4.22542122
607	4.225290326
608	4.225257641
609	4.225212956
610	4.225180428
611	4.225169059
612	4.225128952
613	4.225113636
614	4.225057738
615	4.225033578
616	4.224988101
617	4.224973416
618	4.224967573
619	4.224909462
620	4.224843771
621	4.224825137
622	4.224501717
623	4.224453549
624	4.22440238
625	4.224387061
626	4.224357844
627	4.224302252
628	4.224202121
629	4.224165795
630	4.224129943
631	4.224119677
632	4.22406108
633	4.223941832
634	4.223896659
635	4.223871861
636	4.223837902
637	4.223778196
638	4.223727809
639	4.223673472
640	4.22367205
641	4.223540312
642	4.223503981
643	4.223453748
644	4.22339688
645	4.223320423
646	4.22325139
647	4.223193571
648	4.223111582
649	4.22309531
650	4.222985039
651	4.22296466
652	4.222892619
653	4.222825158
654	4.222634303
655	4.222575686
656	4.222511065
657	4.222497951
658	4.222466824
659	4.222409469
660	4.222314666
661	4.222287014
662	4.22221986
663	4.222188415
664	4.22212837
665	4.222117783
666	4.222074013
667	4.221976989
668	4.221864635
669	4.221734895
670	4.221595037
671	4.221437473
672	4.221397963
673	4.221389429
674	4.221372992
675	4.221317519
676	4.221282433
677	4.221178121
678	4.221094511
679	4.221052943
680	4.221036347
681	4.220982134
682	4.220932187
683	4.220889827
684	4.220863589
685	4.220811902
686	4.220764957
687	4.220690507
688	4.220646406
689	4.220636447
690	4.220616847
691	4.220588394
692	4.220574641
693	4.220528958
694	4.220522161
695	4.220517102
696	4.220414985
697	4.220380049
698	4.220313971
699	4.220238565
700	4.220186238
701	4.220106245
702	4.220057869
703	4.220029571
704	4.219982617
705	4.219965068
706	4.219960483
707	4.21980112
708	4.219687759
709	4.21966594
710	4.219608231
711	4.21958736
712	4.219430829
713	4.219368214
714	4.219301804
715	4.21928109
716	4.21919602
717	4.219148741
718	4.219101935
719	4.219074421
720	4.219024926
721	4.218988714
722	4.218843546
723	4.218824569
724	4.218765741
725	4.218701061
726	4.218614556
727	4.218587039
728	4.218490884
729	4.218466529
730	4.218404374
731	4.218366101
732	4.218346173
733	4.218179948
734	4.21813234
735	4.218075243
736	4.218064329
737	4.218043293
738	4.218004858
739	4.21797702
740	4.217887178
741	4.217820112
742	4.217740391
743	4.217695784
744	4.217560221
745	4.217516403
746	4.21749742
747	4.217449964
748	4.217379885
749	4.217364382
750	4.217345557
751	4.217245419
752	4.21721283
753	4.217182614
754	4.217153822
755	4.217116644
756	4.217104304
757	4.21705621
758	4.216999573
759	4.216943567
760	4.216873638
761	4.216847375
762	4.216768584
763	4.216703241
764	4.216685995
765	4.216623814
766	4.216514482
767	4.21649328
768	4.216482521
769	4.216415116
770	4.216400875
771	4.216362425
772	4.216320019
773	4.216284417
774	4.216229193
775	4.216201976
776	4.216081556
777	4.216077125
778	4.216002118
779	4.215925369
780	4.215857797
781	4.215843871
782	4.215842288
783	4.215779462
784	4.215757465
785	4.215732619
786	4.215596202
787	4.215539544
788	4.215484469
789	4.21541958
790	4.215396632
791	4.215364662
792	4.21530357
793	4.215263685
794	4.215246433
795	4.215229182
796	4.215213829
797	4.215113482
798	4.215018515
799	4.214980052
800	4.214931142
801	4.214879383
802	4.214852474
803	4.214814168
804	4.214766207
805	4.214689118
806	4.214660309
807	4.214548393
808	4.21451705
809	4.214451038
810	4.21438455
811	4.21434529
812	4.214285608
813	4.214254896
814	4.214246189
815	4.214125872
816	4.214103708
817	4.214077902
818	4.214038639
819	4.213947764
820	4.213943014
821	4.213882693
822	4.213843587
823	4.213806855
824	4.213783581
825	4.213728958
826	4.21368415
827	4.213636176
828	4.213568092
829	4.213445538
830	4.213267718
831	4.213236524
832	4.21316685
833	4.213157032
834	4.213135971
835	4.21312267
836	4.213114435
837	4.2130986
838	4.213073105
839	4.213043176
840	4.213037317
841	4.212869773
842	4.21277428
843	4.212720118
844	4.212496497
845	4.212450568
846	4.212335267
847	4.212314203
848	4.212269538
849	4.212138077
850	4.21211226
851	4.212082007
852	4.212052704
853	4.211937076
854	4.211871341
855	4.21185059
856	4.211842512
857	4.211804971
858	4.211769964
859	4.211717215
860	4.211679673
861	4.21160332
862	4.211566094
863	4.211539005
864	4.211524748
865	4.211477383
866	4.211470888
867	4.211407996
868	4.211357778
869	4.211321975
870	4.211264468
871	4.211237061
872	4.211198406
873	4.211169889
874	4.21114359
875	4.211031422
876	4.211007499
877	4.210970426
878	4.210918618
879	4.210895645
880	4.21086063
881	4.210833537
882	4.210638653
883	4.210629622
884	4.210605696
885	4.210525838
886	4.210496208
887	4.210477828
888	4.210465151
889	4.210443126
890	4.210427598
891	4.21037103
892	4.210344092
893	4.210319848
894	4.210314619
895	4.210231428
896	4.210226357
897	4.210220811
898	4.210151245
899	4.210068843
900	4.210022412
901	4.209992144
902	4.209977406
903	4.209926062
904	4.209866951
905	4.209829075
906	4.209780423
907	4.209743655
908	4.209729392
909	4.209663623
910	4.209600387
911	4.209586441
912	4.209570592
913	4.209563619
914	4.20953208
915	4.209397997
916	4.209336185
917	4.209280711
918	4.209267714
919	4.209216678
920	4.209194488
921	4.209116029
922	4.209074184
923	4.20906087
924	4.209032022
925	4.20902584
926	4.208956414
927	4.208895229
928	4.208880963
929	4.208862258
930	4.208740835
931	4.20871579
932	4.208473567
933	4.208463421
934	4.208429179
935	4.208280793
936	4.208251305
937	4.208222927
938	4.208145085
939	4.208113694
940	4.208074534
941	4.208033947
942	4.208004775
943	4.207984323
944	4.207952455
945	4.207921696
946	4.207889987
947	4.207867314
948	4.207833701
949	4.207780745
950	4.207713359
951	4.207683709
952	4.20767372
953	4.207626628
954	4.207537675
955	4.207511036
956	4.207389733
957	4.207361984
958	4.20734692
959	4.207340577
960	4.207246861
961	4.207194531
962	4.207172806
963	4.207126978
964	4.20705974
965	4.207023266
966	4.206996466
967	4.206984731
968	4.206904169
969	4.20686595
970	4.206801563
971	4.206783007
972	4.206765404
973	4.206750179
974	4.206704028
975	4.206651216
976	4.206483577
977	4.206436789
978	4.206365099
979	4.206353679
980	4.206297691
981	4.206216323
982	4.206168898
983	4.206147009
984	4.206099741
985	4.206061039
986	4.206011867
987	4.205967453
988	4.205914631
989	4.205876879
990	4.205866251
991	4.205849278
992	4.205715236
993	4.205706036
994	4.205687317
995	4.205669709
996	4.205644327
997	4.205565961
998	4.205544863
999	4.205535662
1000	4.205502348
1001	4.205499968
1002	4.205449838
1003	4.205391298
1004	4.20537829
1005	4.205253435
1006	4.205182201
1007	4.205159672
1008	4.205075903
1009	4.205071619
1010	4.205040681
1011	4.204955164
1012	4.204894715
1013	4.204818873
1014	4.204778731
1015	4.204730496
1016	4.204708758
1017	4.204698286
1018	4.204670836
1019	4.20465846
1020	4.204635452
1021	4.204620061
1022	4.204583407
1023	4.204482807
1024	4.204479951
1025	4.204461544
1026	4.204431395
1027	4.204409973
1028	4.204345389
1029	4.204333488
1030	4.204249226
1031	4.204203842
1032	4.204161472
1033	4.20413989
1034	4.204133225
1035	4.20408165
1036	4.20403785
1037	4.204031661
1038	4.204009603
1039	4.203976594
1040	4.203959454
1041	4.203948346
1042	4.203916447
1043	4.203895181
1044	4.203871694
1045	4.203855824
1046	4.203832812
1047	4.203690453
1048	4.203637762
1049	4.203566818
1050	4.203555549
1051	4.20351603
1052	4.20348762
1053	4.203458575
1054	4.203395723
1055	4.203272714
1056	4.203233509
1057	4.203206208
1058	4.203177161
1059	4.203135574
1060	4.203095733
1061	4.203065257
1062	4.203046368
1063	4.202996049
1064	4.202970334
1065	4.202964144
1066	4.202867314
1067	4.202797786
1068	4.202780165
1069	4.202769053
1070	4.202673965
1071	4.202665552
1072	4.202638089
1073	4.202588083
1074	4.202579828
1075	4.202548237
1076	4.20252236
1077	4.202456319
1078	4.202427743
1079	4.202412344
1080	4.20235916
1081	4.20232328
1082	4.202266603
1083	4.202234851
1084	4.202211354
1085	4.202185793
1086	4.202163248
1087	4.202095454
1088	4.202088469
1089	4.202032423
1090	4.202014006
1091	4.201948433
1092	4.201941923
1093	4.201920171
1094	4.201891274
1095	4.201799342
1096	4.201755995
1097	4.201729002
1098	4.201661201
1099	4.201633732
